feature,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95
Intercept,35.3292759839029,0.6797104236523833,51.97695188204287,0.0,33.997050031987776,36.66150193581803
danceability,10.576523252981474,0.4715865314107619,22.427534606091406,0.0,9.652218146193292,11.500828359769656
energy,-2.0179513821866752,0.5362398899099259,-3.7631504484413454,0.0001678930956805491,-3.0689764554103123,-0.9669263089630384
valence,-8.130608539016672,0.3232732321957924,-25.150887018360738,0.0,-8.764220992944514,-7.496996085088829
tempo,0.00720643275817997,0.002380001404023171,3.027911137362426,0.0024632051412913913,0.0025416526905203494,0.01187121282583959
acousticness,-1.3063477071585115,0.31058315648916607,-4.206112533356523,2.600531020768848e-05,-1.9150877336527838,-0.6976076806642391
loudness,0.09831131855931423,0.02360461680080843,4.164919066000139,3.117542746178259e-05,0.05204649460962107,0.14457614250900738
instrumentalness,-9.1177345229137,0.252740699541682,-36.07545021220456,0.0,-9.613103885097871,-8.62236516072953
speechiness,-11.8006350581783,0.6269562194928673,-18.82210382684074,0.0,-13.029463272750682,-10.571806843605916
